depth,fit_time,name,score,score_time
1,2.187999963760376,Tree w/ depth of 1,0.8526893727898753,0.03099989891052246
2,3.821000099182129,Tree w/ depth of 2,0.8606923506420994,0.06499981880187988
3,5.164000034332275,Tree w/ depth of 3,0.8670202866182766,0.04700016975402832
4,6.624000072479248,Tree w/ depth of 4,0.8708356597803834,0.06299996376037598
5,8.368000030517578,Tree w/ depth of 5,0.8729759910664433,0.07899999618530273
6,9.335000038146973,Tree w/ depth of 6,0.8732551647124511,0.07800006866455078
7,11.11300015449524,Tree w/ depth of 7,0.8728829331844408,0.1099998950958252
8,13.043999910354614,Tree w/ depth of 8,0.8728829331844408,0.09399986267089844
9,14.608000040054321,Tree w/ depth of 9,0.8729759910664433,0.10899996757507324
10,16.049000024795532,Tree w/ depth of 10,0.8721384701284198,0.13499999046325684
